shipment_id,origin_country,destination_country,transport_mode,product_type,ship_date,delivery_date,weight_kg,cost_usd,delay_days,status
5033,Colombia,México,Terrestre,Alimentos,2025-10-24,2025-10-30,1581.45,3434.05,2,A tiempo
5034,Brasil,Ecuador,Terrestre,Textil,2025-12-20,2025-12-22,12726.49,13760.31,6,Retrasado
5035,Alemania,Ecuador,Terrestre,Textil,2025-11-01,2025-12-08,13829.68,26443.54,2,A tiempo
5036,Perú,Perú,Aéreo,Electrónica,2025-12-28,2026-01-04,5075.74,8421.85,2,A tiempo
5037,Brasil,Perú,Marítimo,Alimentos,2025-07-11,2025-08-02,16550.54,32345.63,0,A tiempo
5038,Alemania,Perú,Aéreo,Maquinaria,2025-08-06,2025-08-11,8019.44,13545.95,0,A tiempo
5039,Perú,Ecuador,Marítimo,Químicos,2025-01-26,2025-02-24,108.74,175.91,0,A tiempo
5040,China,Colombia,Terrestre,Textil,2025-05-24,2025-05-25,6185.87,3947.59,4,Retrasado
5041,México,Chile,Terrestre,Electrónica,2025-04-26,2025-05-01,3026.06,2495.04,4,Retrasado
5042,China,Chile,Terrestre,Alimentos,2025-12-01,2025-12-20,9743.19,8330.48,7,Retrasado
5043,Perú,Ecuador,Marítimo,Maquinaria,2025-05-01,2025-05-04,15946.9,32229.22,0,A tiempo
5044,USA,Perú,Aéreo,Textil,2025-11-20,2025-11-28,14978.82,17290.72,5,Retrasado
5045,Colombia,Perú,Marítimo,Químicos,2025-03-29,2025-05-05,4520.31,5951.93,6,Retrasado
5046,Alemania,Chile,Terrestre,Alimentos,2025-08-01,2025-08-08,2681.96,4842.38,6,Retrasado
5047,Alemania,Colombia,Terrestre,Alimentos,2025-07-15,2025-08-21,1629.84,2100.77,0,A tiempo
5048,Alemania,Colombia,Terrestre,Alimentos,2025-02-05,2025-02-28,17879.44,28741.58,2,A tiempo
5049,España,Colombia,Marítimo,Electrónica,2025-04-26,2025-06-02,13674.55,20021.71,0,A tiempo
5050,USA,México,Marítimo,Textil,2025-12-26,2026-01-19,12622.25,28301.91,4,Retrasado
5051,México,Ecuador,Aéreo,Químicos,2025-08-05,2025-09-06,17791.62,35442.77,4,Retrasado
5052,España,Chile,Terrestre,Químicos,2025-10-29,2025-10-30,18784.48,35643.96,3,A tiempo
5053,España,México,Marítimo,Maquinaria,2025-09-20,2025-10-23,3709.12,7161.53,0,A tiempo
5054,Colombia,Perú,Marítimo,Electrónica,2025-11-25,2025-12-25,11504.43,20437.22,3,A tiempo
5055,Brasil,Ecuador,Terrestre,Electrónica,2025-05-06,2025-05-22,4795.14,10485.68,2,A tiempo
5056,USA,Ecuador,Terrestre,Maquinaria,2025-03-22,2025-03-27,1178.23,1234.62,0,A tiempo
5057,Alemania,Colombia,Marítimo,Textil,2025-01-27,2025-02-21,8649.79,10388.58,7,Retrasado
5058,China,Perú,Terrestre,Electrónica,2025-11-04,2025-11-30,17504.05,12404.58,0,A tiempo
5059,Colombia,México,Terrestre,Electrónica,2025-07-10,2025-08-17,1227.72,1879.88,7,Retrasado
5060,Brasil,Chile,Terrestre,Maquinaria,2025-09-20,2025-10-02,12047.52,11885.89,0,A tiempo
5061,México,Ecuador,Marítimo,Alimentos,2025-01-24,2025-02-24,9097.88,20064.31,0,A tiempo
5062,China,México,Marítimo,Alimentos,2025-11-05,2025-11-22,409.98,724.25,6,Retrasado
5063,Colombia,Colombia,Aéreo,Químicos,2025-08-01,2025-08-19,1852.59,2689.5,0,A tiempo
5064,Brasil,Perú,Aéreo,Maquinaria,2025-02-12,2025-03-16,7404.4,5968.14,0,A tiempo
5065,Brasil,Ecuador,Terrestre,Alimentos,2025-07-01,2025-07-28,7966.36,13594.02,3,A tiempo
5066,Brasil,México,Terrestre,Alimentos,2025-08-06,2025-08-12,4373.17,7468.47,4,Retrasado
5067,España,Ecuador,Marítimo,Alimentos,2025-05-05,2025-06-02,8531.68,14159.71,3,A tiempo
5068,México,Ecuador,Aéreo,Electrónica,2025-09-17,2025-10-18,9171.59,6245.68,0,A tiempo
5069,Brasil,Ecuador,Marítimo,Químicos,2025-08-01,2025-08-23,11798.77,23814.99,0,A tiempo
5070,Alemania,Chile,Aéreo,Textil,2025-11-03,2025-12-01,8545.62,19493.94,6,Retrasado
5071,Perú,Colombia,Marítimo,Maquinaria,2025-11-12,2025-12-18,8506.03,13045.71,1,A tiempo
5072,Colombia,México,Terrestre,Textil,2025-01-23,2025-02-01,9658.44,13834.22,5,Retrasado
5073,Colombia,Perú,Marítimo,Electrónica,2025-08-24,2025-09-01,6573.64,5411.41,0,A tiempo
5074,México,México,Marítimo,Alimentos,2025-09-21,2025-10-25,8817.38,8929.72,7,Retrasado
5075,Alemania,Colombia,Aéreo,Químicos,2025-02-22,2025-03-06,626.19,379.5,1,A tiempo
5076,España,México,Marítimo,Textil,2025-11-19,2025-12-20,5223.48,3856.17,3,A tiempo
5077,Alemania,Colombia,Marítimo,Textil,2025-11-09,2025-12-15,13060.12,22254.29,0,A tiempo
5078,España,Ecuador,Terrestre,Electrónica,2025-02-20,2025-02-27,14743.55,7775.04,1,A tiempo
5079,México,México,Terrestre,Alimentos,2025-11-19,2025-12-28,5723.82,11499.3,1,A tiempo
5080,Colombia,Chile,Aéreo,Textil,2025-08-25,2025-09-02,7202.57,5558.76,9,Retrasado
5081,Brasil,Chile,Aéreo,Textil,2025-10-15,2025-11-07,1770.49,2431.79,0,A tiempo
5082,China,Ecuador,Marítimo,Textil,2025-10-19,2025-11-09,1235.54,1380.77,5,Retrasado
5083,España,Perú,Terrestre,Electrónica,2025-03-01,2025-03-28,12992.38,21251.86,0,A tiempo
5084,España,Ecuador,Aéreo,Maquinaria,2025-01-23,2025-02-05,17117.49,38790.85,0,A tiempo
5085,Perú,Colombia,Terrestre,Alimentos,2025-08-21,2025-08-24,9778.01,18480.7,4,Retrasado
5086,Alemania,México,Aéreo,Químicos,2025-05-04,2025-05-24,8040.51,12350.87,3,A tiempo
5087,Perú,Chile,Terrestre,Electrónica,2025-04-06,2025-04-17,15084.4,26756.45,3,A tiempo
5088,Colombia,Colombia,Terrestre,Electrónica,2025-02-17,2025-03-23,5860.9,14045.39,7,Retrasado
5089,España,Ecuador,Terrestre,Textil,2025-11-10,2025-11-12,9513.61,20777.3,2,A tiempo
5090,Perú,Chile,Marítimo,Alimentos,2025-07-28,2025-08-30,16998.4,27374.87,3,A tiempo
5091,USA,Colombia,Aéreo,Químicos,2025-11-02,2025-11-09,9136.97,18256.34,5,Retrasado
5092,Colombia,Ecuador,Terrestre,Alimentos,2025-07-23,2025-08-23,18205.94,22302.1,2,A tiempo
5093,Brasil,Ecuador,Terrestre,Electrónica,2025-01-18,2025-02-15,17899.75,27954.99,0,A tiempo
5094,México,Perú,Aéreo,Electrónica,2025-03-22,2025-04-18,273.83,682.12,12,Retrasado
5095,Perú,Chile,Aéreo,Alimentos,2025-10-26,2025-11-12,12647.03,10647.62,6,Retrasado
5096,USA,Colombia,Marítimo,Electrónica,2025-03-11,2025-04-07,7952.24,15040.25,8,Retrasado
5097,Brasil,Perú,Terrestre,Maquinaria,2025-11-29,2025-12-13,14916.77,18535.76,7,Retrasado
5098,Alemania,México,Aéreo,Textil,2025-04-27,2025-05-10,11098.94,22057.47,0,A tiempo
5099,China,Perú,Marítimo,Alimentos,2025-06-04,2025-07-08,10918.62,10925.65,2,A tiempo
5100,USA,Ecuador,Marítimo,Electrónica,2025-08-30,2025-09-25,2734.16,2022.41,0,A tiempo
5101,Alemania,México,Marítimo,Alimentos,2025-10-20,2025-11-15,6183.32,3494.8,0,A tiempo
5102,Brasil,Ecuador,Marítimo,Electrónica,2025-10-07,2025-11-01,7702.58,12592.8,0,A tiempo
5103,USA,Colombia,Terrestre,Químicos,2025-10-25,2025-10-26,10105.0,13483.17,7,Retrasado
5104,USA,Perú,Marítimo,Textil,2025-07-06,2025-07-26,13218.18,7179.38,0,A tiempo
5105,Colombia,Colombia,Terrestre,Alimentos,2025-04-28,2025-05-13,9365.24,21534.08,2,A tiempo
5106,Alemania,Perú,Aéreo,Alimentos,2025-03-20,2025-04-10,12806.04,19479.74,1,A tiempo
5107,México,Colombia,Terrestre,Alimentos,2025-12-17,2026-01-14,15260.38,12555.53,3,A tiempo
5108,USA,Ecuador,Marítimo,Alimentos,2025-07-29,2025-09-02,13564.44,23332.11,0,A tiempo
5109,China,México,Aéreo,Químicos,2025-12-20,2026-01-02,820.03,1949.21,9,Retrasado
5110,China,México,Terrestre,Electrónica,2025-06-30,2025-07-20,19453.65,37596.05,6,Retrasado
5111,Colombia,México,Terrestre,Alimentos,2025-05-17,2025-06-06,1047.27,2236.2,3,A tiempo
5112,USA,Ecuador,Aéreo,Maquinaria,2025-08-12,2025-08-16,5041.45,8114.7,16,Retrasado
5113,España,Colombia,Terrestre,Alimentos,2025-12-29,2026-01-28,17664.26,38558.13,4,Retrasado
5114,Colombia,Ecuador,Marítimo,Maquinaria,2025-11-12,2025-12-13,13654.03,7935.93,1,A tiempo
5115,Colombia,Colombia,Aéreo,Maquinaria,2025-05-30,2025-06-03,3330.16,8050.33,0,A tiempo
5116,Colombia,Colombia,Marítimo,Electrónica,2025-01-16,2025-02-23,18515.33,18349.93,0,A tiempo
5117,México,Ecuador,Aéreo,Alimentos,2025-05-30,2025-06-18,14429.01,14477.02,0,A tiempo
5118,USA,Colombia,Marítimo,Textil,2025-10-04,2025-10-17,12528.66,19879.42,0,A tiempo
5119,Perú,México,Terrestre,Electrónica,2025-01-01,2025-01-17,11395.82,20571.99,4,Retrasado
5120,USA,Colombia,Aéreo,Químicos,2025-10-31,2025-11-20,17151.25,11978.48,3,A tiempo
5121,Brasil,Colombia,Terrestre,Maquinaria,2025-04-06,2025-04-14,15831.24,21361.11,14,Retrasado
5122,Colombia,Chile,Terrestre,Alimentos,2025-05-14,2025-05-25,13477.19,23471.04,0,A tiempo
5123,Colombia,México,Aéreo,Maquinaria,2025-12-03,2025-12-24,9241.08,16260.01,0,A tiempo
5124,Colombia,México,Aéreo,Textil,2025-05-17,2025-06-14,8742.37,18766.29,4,Retrasado
5125,Colombia,Perú,Aéreo,Químicos,2025-06-24,2025-07-10,6580.06,14068.06,0,A tiempo
5126,China,Chile,Marítimo,Alimentos,2025-06-12,2025-07-21,14421.66,23152.16,2,A tiempo
5127,España,México,Marítimo,Alimentos,2025-05-13,2025-05-16,14966.52,25198.85,0,A tiempo
5128,España,Chile,Aéreo,Textil,2025-01-30,2025-03-02,17359.09,10675.2,4,Retrasado
5129,USA,México,Terrestre,Maquinaria,2025-06-04,2025-07-04,2158.09,3266.61,0,A tiempo
5130,Perú,Perú,Terrestre,Alimentos,2025-06-29,2025-07-07,2614.85,4467.07,5,Retrasado
5131,España,Ecuador,Marítimo,Electrónica,2025-03-21,2025-04-22,2772.09,1529.05,1,A tiempo
5132,España,Chile,Terrestre,Maquinaria,2025-10-29,2025-11-10,871.93,1384.62,2,A tiempo
5133,Colombia,Chile,Terrestre,Electrónica,2025-06-30,2025-07-11,5141.38,5598.51,5,Retrasado
5134,USA,Perú,Terrestre,Químicos,2025-03-29,2025-05-02,2142.0,2532.29,0,A tiempo
5135,España,Colombia,Marítimo,Químicos,2025-02-06,2025-02-26,7368.55,8350.53,3,A tiempo
5136,Alemania,Ecuador,Aéreo,Maquinaria,2025-07-30,2025-09-04,11321.92,20222.86,0,A tiempo
5137,España,Chile,Marítimo,Maquinaria,2025-06-24,2025-07-29,3833.94,5878.85,0,A tiempo
5138,Colombia,Ecuador,Aéreo,Electrónica,2025-09-19,2025-09-25,6308.63,11252.64,0,A tiempo
5139,España,Colombia,Marítimo,Electrónica,2025-12-27,2025-12-31,8417.95,17180.27,0,A tiempo
5140,USA,Colombia,Marítimo,Electrónica,2025-03-15,2025-04-04,12639.59,22801.4,7,Retrasado
5141,México,Perú,Marítimo,Electrónica,2025-09-25,2025-10-26,12317.96,27243.01,4,Retrasado
5142,España,Colombia,Terrestre,Químicos,2025-06-07,2025-06-09,19082.46,22762.55,3,A tiempo
5143,Brasil,México,Marítimo,Textil,2025-05-25,2025-05-31,19673.66,31296.66,1,A tiempo
5144,Colombia,Colombia,Terrestre,Químicos,2025-04-16,2025-05-25,15956.27,24805.62,0,A tiempo
5145,Alemania,Colombia,Terrestre,Alimentos,2025-05-11,2025-06-07,7172.88,17419.59,6,Retrasado
5146,Colombia,Chile,Marítimo,Químicos,2025-02-13,2025-03-16,18930.42,42539.16,0,A tiempo
5147,USA,Perú,Aéreo,Químicos,2025-06-16,2025-07-24,5544.24,8347.9,0,A tiempo
5148,Perú,México,Aéreo,Químicos,2025-08-03,2025-08-29,2217.58,4168.74,6,Retrasado
5149,México,Ecuador,Marítimo,Químicos,2025-04-13,2025-04-20,2072.02,3347.0,0,A tiempo
5150,China,Perú,Aéreo,Maquinaria,2025-06-15,2025-06-25,201.21,456.64,0,A tiempo
5151,México,México,Aéreo,Químicos,2025-06-22,2025-07-04,5415.26,10284.26,0,A tiempo
5152,China,México,Terrestre,Alimentos,2025-08-29,2025-09-07,2389.35,2935.69,1,A tiempo
5153,México,Chile,Aéreo,Maquinaria,2025-08-01,2025-08-20,2504.01,3216.4,0,A tiempo
5154,España,Chile,Marítimo,Maquinaria,2025-12-11,2025-12-29,18612.67,37676.53,0,A tiempo
5155,España,México,Aéreo,Maquinaria,2025-07-12,2025-07-28,4960.98,5183.31,1,A tiempo
5156,Perú,Ecuador,Terrestre,Alimentos,2025-08-10,2025-08-15,984.02,1650.12,2,A tiempo
5157,Colombia,Ecuador,Terrestre,Maquinaria,2025-07-13,2025-07-24,12602.67,27117.2,0,A tiempo
5158,China,Ecuador,Aéreo,Químicos,2025-05-06,2025-06-08,10763.77,26566.46,5,Retrasado
5159,USA,Colombia,Terrestre,Textil,2025-03-01,2025-03-05,2782.68,5521.04,0,A tiempo
5160,México,Perú,Terrestre,Alimentos,2025-01-06,2025-01-23,10604.24,7666.2,3,A tiempo
5161,USA,Colombia,Marítimo,Químicos,2025-03-23,2025-04-13,8915.62,13954.72,4,Retrasado
5162,China,México,Terrestre,Electrónica,2025-07-23,2025-08-19,9074.78,4545.64,0,A tiempo
5163,Colombia,Ecuador,Aéreo,Maquinaria,2025-01-11,2025-01-14,2120.99,4898.78,0,A tiempo
5164,México,Ecuador,Aéreo,Textil,2025-04-27,2025-06-02,17267.62,28171.33,0,A tiempo
5165,USA,México,Aéreo,Electrónica,2025-01-15,2025-02-03,14208.22,27386.39,5,Retrasado
5166,Colombia,Perú,Marítimo,Electrónica,2025-09-08,2025-10-07,17137.89,29704.26,3,A tiempo
5167,Alemania,México,Terrestre,Electrónica,2025-07-07,2025-08-01,10454.0,11550.69,2,A tiempo
5168,España,México,Aéreo,Electrónica,2025-11-22,2025-12-09,18864.52,11925.0,1,A tiempo
5169,Perú,Ecuador,Marítimo,Electrónica,2025-08-18,2025-09-19,7998.4,9510.37,2,A tiempo
5170,México,Ecuador,Terrestre,Electrónica,2025-09-14,2025-10-13,14073.67,33421.04,8,Retrasado
5171,España,Perú,Marítimo,Electrónica,2025-11-19,2025-12-12,19953.56,23550.97,0,A tiempo
5172,Alemania,Chile,Aéreo,Maquinaria,2025-11-24,2025-12-07,10709.58,15029.93,0,A tiempo
5173,USA,Ecuador,Aéreo,Textil,2025-05-15,2025-06-06,549.02,1147.29,2,A tiempo
5174,Alemania,Chile,Terrestre,Electrónica,2025-08-02,2025-08-25,1397.59,834.38,1,A tiempo
5175,España,Ecuador,Marítimo,Electrónica,2025-05-28,2025-06-30,166.46,157.44,0,A tiempo
5176,Alemania,Perú,Marítimo,Maquinaria,2025-07-26,2025-08-04,11188.61,25565.24,10,Retrasado
5177,Colombia,Colombia,Terrestre,Maquinaria,2025-12-10,2026-01-05,17154.96,14913.63,7,Retrasado
5178,Alemania,Ecuador,Aéreo,Maquinaria,2025-12-29,2026-01-17,17669.04,26504.37,0,A tiempo
5179,Colombia,México,Terrestre,Electrónica,2025-06-22,2025-07-20,6481.95,11598.16,4,Retrasado
5180,Perú,Perú,Terrestre,Textil,2025-01-24,2025-02-10,9259.31,5572.92,1,A tiempo
5181,España,Chile,Terrestre,Maquinaria,2025-12-17,2026-01-02,10637.22,18071.83,0,A tiempo
5182,China,Ecuador,Aéreo,Textil,2025-02-13,2025-02-21,4045.4,5622.23,0,A tiempo
5183,España,Colombia,Aéreo,Maquinaria,2025-01-09,2025-01-13,11904.11,23880.17,14,Retrasado
5184,México,Colombia,Marítimo,Alimentos,2025-09-12,2025-10-21,4975.16,3250.83,0,A tiempo
5185,Alemania,Colombia,Terrestre,Textil,2025-11-06,2025-11-13,2808.28,3695.12,6,Retrasado
5186,Alemania,Ecuador,Terrestre,Electrónica,2025-08-14,2025-08-28,7975.07,19727.43,0,A tiempo
5187,Perú,Colombia,Aéreo,Maquinaria,2025-08-05,2025-08-18,12457.93,15090.01,2,A tiempo
5188,Alemania,México,Aéreo,Alimentos,2025-04-30,2025-05-30,13588.97,21345.53,0,A tiempo
5189,Alemania,Chile,Terrestre,Maquinaria,2025-08-17,2025-09-10,7741.41,16173.32,3,A tiempo
5190,Perú,Chile,Aéreo,Químicos,2025-10-29,2025-11-14,10417.58,14833.56,0,A tiempo
5191,China,México,Terrestre,Alimentos,2025-04-30,2025-06-03,9568.82,10569.28,0,A tiempo
5192,China,Chile,Terrestre,Alimentos,2025-06-18,2025-07-15,10742.72,10512.78,3,A tiempo
5193,USA,Colombia,Terrestre,Alimentos,2025-08-23,2025-09-23,2591.53,2247.0,13,Retrasado
5194,China,Colombia,Terrestre,Químicos,2025-10-13,2025-10-21,14052.88,23867.99,8,Retrasado
5195,China,México,Terrestre,Alimentos,2025-08-21,2025-08-30,14083.96,9754.35,0,A tiempo
5196,Alemania,Perú,Aéreo,Maquinaria,2025-02-27,2025-03-16,9125.58,20749.52,7,Retrasado
5197,Brasil,México,Terrestre,Químicos,2025-07-13,2025-07-21,11341.76,19450.98,0,A tiempo
5198,Perú,México,Terrestre,Maquinaria,2025-06-08,2025-06-27,10881.71,9773.41,0,A tiempo
5199,Brasil,Ecuador,Aéreo,Químicos,2025-08-24,2025-09-21,9298.15,21859.79,0,A tiempo
5200,México,Ecuador,Terrestre,Alimentos,2025-08-24,2025-09-01,4577.7,7320.25,4,Retrasado
5201,México,Perú,Aéreo,Químicos,2025-02-05,2025-02-25,2485.86,4892.63,0,A tiempo
5202,China,México,Aéreo,Electrónica,2025-02-20,2025-03-14,8430.65,7751.38,5,Retrasado
5203,España,Ecuador,Terrestre,Alimentos,2025-02-01,2025-02-17,17202.86,14136.6,4,Retrasado
5204,España,México,Aéreo,Alimentos,2025-02-05,2025-03-07,6165.64,14177.95,7,Retrasado
5205,USA,Perú,Marítimo,Maquinaria,2025-07-11,2025-07-21,12888.75,19543.09,2,A tiempo
5206,España,Ecuador,Terrestre,Electrónica,2025-01-01,2025-01-20,6013.15,4189.17,1,A tiempo
5207,España,Ecuador,Terrestre,Textil,2025-10-13,2025-11-08,5301.37,9571.2,9,Retrasado
5208,China,Chile,Marítimo,Alimentos,2025-07-27,2025-08-07,5591.07,11784.43,3,A tiempo
5209,Perú,Colombia,Aéreo,Alimentos,2025-09-21,2025-10-18,10109.46,22904.86,3,A tiempo
5210,Brasil,México,Terrestre,Electrónica,2025-06-25,2025-07-09,2647.42,2039.88,0,A tiempo
5211,Alemania,Perú,Marítimo,Textil,2025-11-27,2025-12-15,5660.13,12890.5,0,A tiempo
5212,Alemania,México,Terrestre,Textil,2025-10-28,2025-11-01,12120.22,19331.24,4,Retrasado
5213,USA,México,Terrestre,Alimentos,2025-07-01,2025-07-19,3036.92,2186.85,0,A tiempo
5214,Brasil,México,Aéreo,Químicos,2025-03-31,2025-04-17,7963.76,11699.01,0,A tiempo
5215,Colombia,Perú,Aéreo,Químicos,2025-02-16,2025-03-21,1455.76,1662.48,5,Retrasado
5216,USA,Colombia,Terrestre,Maquinaria,2025-11-04,2025-12-10,3223.68,5355.33,0,A tiempo
5217,Perú,México,Marítimo,Maquinaria,2025-09-05,2025-09-12,18895.52,31959.66,10,Retrasado
5218,México,Ecuador,Marítimo,Electrónica,2025-04-07,2025-05-07,10402.84,12988.95,0,A tiempo
5219,Alemania,Chile,Marítimo,Químicos,2025-09-23,2025-10-12,1916.91,4602.56,15,Retrasado
5220,Colombia,Colombia,Aéreo,Maquinaria,2025-04-23,2025-05-30,4798.71,11889.8,3,A tiempo
5221,USA,Colombia,Terrestre,Alimentos,2025-04-03,2025-04-28,16363.69,27634.83,2,A tiempo
5222,Perú,México,Aéreo,Textil,2025-09-27,2025-10-30,315.42,264.15,2,A tiempo
5223,USA,Perú,Marítimo,Alimentos,2025-09-27,2025-10-05,14481.96,25563.65,0,A tiempo
5224,España,Colombia,Marítimo,Textil,2025-10-28,2025-11-20,5184.59,9959.49,10,Retrasado
5225,China,Chile,Marítimo,Maquinaria,2025-11-07,2025-11-23,7331.14,18305.1,3,A tiempo
5226,Perú,Chile,Terrestre,Electrónica,2025-07-19,2025-07-26,9662.54,21378.71,0,A tiempo
5227,Perú,Perú,Terrestre,Electrónica,2025-04-05,2025-04-28,14494.7,7712.57,0,A tiempo
5228,USA,México,Marítimo,Textil,2025-08-10,2025-08-24,18863.41,38579.98,0,A tiempo
5229,Colombia,Chile,Marítimo,Maquinaria,2025-04-20,2025-05-29,17871.79,33253.42,5,Retrasado
5230,USA,Ecuador,Terrestre,Textil,2025-10-17,2025-11-02,15926.54,29471.98,0,A tiempo
5231,China,Chile,Aéreo,Alimentos,2025-02-13,2025-02-28,5073.44,4277.31,0,A tiempo
5232,España,Colombia,Marítimo,Electrónica,2025-04-30,2025-05-30,17491.78,12268.61,0,A tiempo
5233,Perú,México,Aéreo,Maquinaria,2025-01-14,2025-02-18,577.84,1312.75,0,A tiempo
5234,México,Colombia,Marítimo,Alimentos,2025-06-12,2025-06-15,6941.62,15306.13,0,A tiempo
5235,USA,Chile,Marítimo,Textil,2025-02-21,2025-04-01,17449.74,31281.0,0,A tiempo
5236,Brasil,Perú,Aéreo,Electrónica,2025-12-22,2026-01-13,7200.93,15247.36,5,Retrasado
5237,México,Colombia,Marítimo,Maquinaria,2025-05-10,2025-06-03,13246.7,26131.68,5,Retrasado
5238,Brasil,Colombia,Aéreo,Alimentos,2025-10-16,2025-11-14,12655.66,9868.88,0,A tiempo
5239,Brasil,Perú,Terrestre,Textil,2025-10-30,2025-12-07,1506.21,1876.64,2,A tiempo
5240,España,Ecuador,Marítimo,Electrónica,2025-02-03,2025-03-06,16453.58,16749.68,0,A tiempo
5241,México,Chile,Marítimo,Químicos,2025-09-02,2025-09-30,12084.16,8487.09,4,Retrasado
5242,USA,Perú,Terrestre,Alimentos,2025-05-06,2025-05-22,2334.81,2308.11,4,Retrasado
5243,Colombia,Perú,Terrestre,Químicos,2025-04-19,2025-04-21,8512.68,5783.7,0,A tiempo
5244,Brasil,México,Terrestre,Electrónica,2025-10-03,2025-10-15,3265.41,4728.72,0,A tiempo
5245,Colombia,Colombia,Terrestre,Electrónica,2025-04-03,2025-04-28,9697.65,5938.28,0,A tiempo
5246,España,Chile,Marítimo,Electrónica,2025-04-24,2025-05-22,1718.59,3529.49,4,Retrasado
5247,España,Perú,Aéreo,Alimentos,2025-10-04,2025-11-03,11962.56,27638.53,0,A tiempo
5248,Perú,Chile,Marítimo,Electrónica,2025-05-08,2025-06-16,6155.38,3212.93,1,A tiempo
5249,USA,Colombia,Terrestre,Maquinaria,2025-05-24,2025-06-05,11971.77,27113.04,0,A tiempo
5250,USA,Colombia,Marítimo,Electrónica,2025-09-28,2025-11-02,19469.19,24242.35,0,A tiempo
5251,España,Chile,Aéreo,Maquinaria,2025-02-20,2025-02-25,15184.97,23848.8,6,Retrasado
5252,Colombia,Ecuador,Marítimo,Químicos,2025-09-10,2025-09-16,9746.68,12507.08,6,Retrasado
5253,Colombia,Ecuador,Marítimo,Maquinaria,2025-04-28,2025-06-04,8021.23,15218.21,5,Retrasado
5254,Brasil,México,Aéreo,Textil,2025-11-05,2025-12-14,10767.72,16418.79,0,A tiempo
